Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
eq_laptop_in,equipment_inventory,,text,Date Returned,,,date_mdy,,,,[eq_laptop] = '1',,,,,,
eq_monitor,equipment_inventory,,yesno,Monitor with cables,,,,,,,,,,,,,
eq_monitor_num,equipment_inventory,,text,Inventory Number,,,,,,,[eq_monitor] = '1',,,,,,
ed_monitor_out,equipment_inventory,,text,Date Loaned,,,date_mdy,,,,[eq_monitor] = '1',,,,,,
eq_monitor_in,equipment_inventory,,text,Date Returned,,,date_mdy,,,,[eq_monitor] = '1',,,,,,
eq_stand,equipment_inventory,,yesno,Rolling Mount and power plug,,,,,,,,,,,,,
eq_stand_num,equipment_inventory,,text,Inventory Number,,,,,,,[eq_stand] = '1',,,,,,
ed_stand_out,equipment_inventory,,text,Date Loaned,,,date_mdy,,,,[eq_stand] = '1',,,,,,
eq_stand_in,equipment_inventory,,text,Date Returned,,,date_mdy,,,,[eq_stand] = '1',,,,,,
eq_eye,equipment_inventory,,yesno,Eye Tracker bar with cable,,,,,,,,,,,,,
eq_eye_num,equipment_inventory,,text,Inventory Number,,,,,,,[eq_eye] = '1',,,,,,
ed_eye_out,equipment_inventory,,text,Date Loaned,,,date_mdy,,,,[eq_eye] = '1',,,,,,
eq_eye_in,equipment_inventory,,text,Date Returned,,,date_mdy,,,,[eq_eye] = '1',,,,,,
eq_eeg,equipment_inventory,,yesno,EEG system with electrodes and amplifier,,,,,,,,,,,,,
eq_eeg_num,equipment_inventory,,text,Inventory Number,,,,,,,[eq_eeg] = '1',,,,,,
ed_eeg_out,equipment_inventory,,text,Date Loaned,,,date_mdy,,,,[eq_eeg] = '1',,,,,,
eq_eeg_in,equipment_inventory,,text,Date Returned,,,date_mdy,,,,[eq_eeg] = '1',,,,,,
eq_notes,equipment_inventory,,notes,Additional Notes,,,,,,,,,,,,,
pconsent,patient_information,,file,Upload patient consent form,,,,,,y,,,,,,,
cconsent,patient_information,,file,Upload caregiver consent form,,,,,,,,,,,,,
dob,patient_information,,text,Date of birth,,,date_dmy,,,y,,,,,,,
sex,patient_information,,radio,Gender,"1, Female | 2, Male",,,,,y,,,,,,,
education,patient_information,,dropdown,Highest level of education completed,"1, Less than High School | 2, Some High School | 3, GED/High School Degree | 4, Vocational or Technical School | 5, Some College | 6, College Degree | 7, Graduate School",,,,,y,,,,,,,
marital_status,patient_information,,dropdown,Marital Status,"1, Single, never married | 2, Married or domestic partnership | 3, Widowed | 4, Divorced | 5, Separated",,,,,y,,,,,,,
doso,patient_information,,text,Date of symptom onset,,,date_ymd,,,y,,,,,,,
onset,patient_information,,text,Region of ALS Onset,,,alpha_only,,,,,,,,,,
familial,patient_information,,radio,Familial ALS?,"1, Familial | 2, Non-familial | 3, Unknown",,,,,,,,,,,,
alsfrs_admin,patient_information,,dropdown,How was the ALSFRS-R administered?,"1, Self-administered | 2, Researcher | 3, Clinician",,autocomplete,,,,,,,,,,
alsfrs_date,patient_information,,text,Date of ALSFRS-R administration,,,date_mdy,,,,,,,,,,
alsfrs_speech,patient_information,ALSFRS-R,radio,Speech,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_salivation,patient_information,,radio,Salivation,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_swallowing,patient_information,,radio,Swallowing,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_handwriting,patient_information,,radio,Handwriting,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_cutting,patient_information,,radio,Cutting,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_dressing,patient_information,,radio,Dressing,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_turning,patient_information,,radio,Turning,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_walking,patient_information,,radio,Walking,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_climbing,patient_information,,radio,Climbing,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_dyspnea,patient_information,,radio,Dyspnea,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_orthopnea,patient_information,,radio,Orthopnea,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_resp,patient_information,,radio,Respiratory Insufficiency,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4",,,,,,,,,,alsfrs,,
alsfrs_cutting_gast,patient_information,,yesno,Cutting - Has Gastronomy?,,,,,,,,,,,,,
alsfrs_total,patient_information,,calc,ALSFRS-R Score,[alsfrs_speech]+[alsfrs_salivation]+[alsfrs_swallowing]+[alsfrs_handwriting]+[alsfrs_cutting]+[alsfrs_dressing]+[alsfrs_turning]+[alsfrs_walking]+[alsfrs_climbing]+[alsfrs_dyspnea]+[alsfrs_orthopnea]+[alsfrs_resp],,,,,,,,,,,,
ecas_date,patient_information,ECAS,text,Date of Assessment,,,date_dmy,,,,,,,,,,
ecas_language,patient_information,Cognitive Screen,text,Language,,,integer,0,28,,,,,,,,
ecas_fluency,patient_information,,text,Verbal Fluency,,,integer,0,24,,,,,,,,
ecas_executive,patient_information,,text,Executive,,,integer,0,48,,,,,,,,
ecas_als,patient_information,,calc,ALS Specific Score,[ecas_language]+[ecas_fluency]+[ecas_executive],,,,,,,,,,,,
ecas_memory,patient_information,,text,Memory,,,integer,0,24,,,,,,,,
ecas_visuospatial,patient_information,,text,Visuospatial,,,integer,0,12,,,,,,,,
ecas_nonals,patient_information,,calc,ALS Non-Specific Score,[ecas_memory]+[ecas_visuospatial],,,,,,,,,,,,
ecas_score,patient_information,,calc,ECAS Total Score,[ecas_als]+[ecas_nonals],,,,,,,,,,,,
ecas_disinhibition,patient_information,Behavioral Screen,yesno,Disinhibition,,,,,,,,,,,,,
ecas_apathy,patient_information,,yesno,Apathy or Inertia,,,,,,,,,,,,,
ecas_sympathy,patient_information,,yesno,Loss of Sympathy or Empathy,,,,,,,,,,,,,
ecas_persevere,patient_information,,yesno,"Perseverative, Stereotyped, Compulsive, Ritualistic",,,,,,,,,,,,,
ecas_hyperorality,patient_information,,yesno,Hyperorality or Altered Food,,,,,,,,,,,,,
ecas_behavior,patient_information,,calc,Total Behavior,[ecas_disinhibition]+[ecas_apathy]+[ecas_sympathy]+[ecas_persevere]+[ecas_hyperorality],,,,,,,,,,,,
ecas_psychosis,patient_information,,text,Psychosis,,,integer,0,3,,,,,,,,
qol_admin,patient_information,ALSSQOL,dropdown,How was the ALSSQOL-20 administered?,"1, Self-administered | 2, Researcher | 3, Clinician",,autocomplete,,,,,,,,,,
qol_date,patient_information,,text,"Date of assessment (ALSSQOL-R administered before 6/15/15, ALSSQOL-20 administered after this date)",,,date_dmy,,,,,,,,,,
qol_tot,patient_information,,text,Average total ALSSQOL-R Score,,,,,,,,,,,,,
qol_neg,patient_information,,text,Negative Emotion,,,,,,,,,,,,,
qol_interaction,patient_information,,text,Interaction,,,,,,,,,,,,,
qol_int,patient_information,,text,Intimacy,,,,,,,,,,,,,
qol_rel,patient_information,,text,Religiosity,,,,,,,,,,,,,
qol_phys,patient_information,,text,Physical Function,,,,,,,,,,,,,
qol_bulb,patient_information,,text,Bulbar Function,,,,,,,,,,,,,
sc_num,patient_information,HOSU: SPEECH/COMMUNICATION,text,Speech/communication devices used (up to 3),,,number,0,3,,,,,,,,
sc_n1_name,patient_information,,text,Name of device #1,,,,,,,[sc_num] >= 1,,,,,,
sc_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[sc_num] >= 1,,,,,,
sc_n1_su_month,patient_information,,text,Months Used,,,,,,,[sc_n1_t(1)] = '1',,,,,,
sc_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n1_t(1)] = '1',,,,,,
sc_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n1_t(1)] = '1',,,,,,
sc_n1_sp_months,patient_information,,text,Months Used,,,,,,,[sc_n1_t(2)] = '1',,,,,,
sc_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n1_t(2)] = '1',,,,,,
sc_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n1_t(2)] = '1',,,,,,
sc_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[sc_n1_t(2)] = '1',,,,,,
sc_n1_sn_nw,patient_information,,text,Need and Want but does not Have,,,,,,,[sc_n1_t(3)] = '1',,,,,,
sc_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[sc_n1_t(3)] = '1',,,,,,
sc_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[sc_n1_t(3)] = '1',,,,,,
sc_n2_name,patient_information,,text,Name of device #2,,,,,,,[sc_num] >= 2,,,,,,
sc_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[sc_num] >= 2,,,,,,
sc_n2_su_month,patient_information,,text,Months Used,,,,,,,[sc_n2_t(1)] = '1',,,,,,
sc_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n2_t(1)] = '1',,,,,,
sc_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n2_t(1)] = '1',,,,,,
sc_n2_sp_months,patient_information,,text,Months Used,,,,,,,[sc_n2_t(2)] = '1',,,,,,
sc_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n2_t(2)] = '1',,,,,,
sc_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n2_t(2)] = '1',,,,,,
sc_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[sc_n2_t(2)] = '1',,,,,,
sc_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[sc_n2_t(3)] = '1',,,,,,
sc_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[sc_n2_t(3)] = '1',,,,,,
sc_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[sc_n2_t(3)] = '1',,,,,,
sc_n3_name,patient_information,,text,Name of device #3,,,,,,,[sc_num] >= 3,,,,,,
sc_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[sc_num] >= 3,,,,,,
sc_n3_su_month,patient_information,,text,Months Used,,,,,,,[sc_n3_t(1)] = '1',,,,,,
sc_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n3_t(1)] = '1',,,,,,
sc_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n3_t(1)] = '1',,,,,,
sc_n3_sp_months,patient_information,,text,Months Used,,,,,,,[sc_n3_t(2)] = '1',,,,,,
sc_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[sc_n3_t(2)] = '1',,,,,,
sc_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[sc_n3_t(2)] = '1',,,,,,
sc_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[sc_n3_t(2)] = '1',,,,,,
sc_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[sc_n3_t(3)] = '1',,,,,,
sc_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[sc_n3_t(3)] = '1',,,,,,
sc_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[sc_n3_t(3)] = '1',,,,,,
mob_num,patient_information,MOBILITY,text,Mobility devices used (up to 3),,,number,0,3,,,,,,,,
mob_n1_name,patient_information,,text,Name of device #1,,,,,,,[mob_num] >= 1,,,,,,
mob_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[mob_num] >= 1,,,,,,
mob_n1_su_month,patient_information,,text,Months Used,,,,,,,[mob_n1_t(1)] = '1',,,,,,
mob_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n1_t(1)] = '1',,,,,,
mob_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n1_t(1)] = '1',,,,,,
mob_n1_sp_months,patient_information,,text,Months Used,,,,,,,[mob_n1_t(2)] = '1',,,,,,
mob_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n1_t(2)] = '1',,,,,,
mob_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n1_t(2)] = '1',,,,,,
mob_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[mob_n1_t(2)] = '1',,,,,,
mob_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[mob_n1_t(3)] = '1',,,,,,
mob_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[mob_n1_t(3)] = '1',,,,,,
mob_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[mob_n1_t(3)] = '1',,,,,,
mob_n2_name,patient_information,,text,Name of device #2,,,,,,,[mob_num] >= 2,,,,,,
mob_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[mob_num] >= 2,,,,,,
mob_n2_su_month,patient_information,,text,Months Used,,,,,,,[mob_n2_t(1)] = '1',,,,,,
mob_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n2_t(1)] = '1',,,,,,
mob_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n2_t(1)] = '1',,,,,,
mob_n2_sp_months,patient_information,,text,Months Used,,,,,,,[mob_n2_t(2)] = '1',,,,,,
mob_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n2_t(2)] = '1',,,,,,
mob_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n2_t(2)] = '1',,,,,,
mob_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[mob_n2_t(2)] = '1',,,,,,
mob_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[mob_n2_t(3)] = '1',,,,,,
mob_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[mob_n2_t(3)] = '1',,,,,,
mob_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[mob_n2_t(3)] = '1',,,,,,
mob_n3_name,patient_information,,text,Name of device #3,,,,,,,[mob_num] >= 3,,,,,,
mob_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[mob_num] >= 3,,,,,,
mob_n3_su_month,patient_information,,text,Months Used,,,,,,,[mob_n3_t(1)] = '1',,,,,,
mob_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n3_t(1)] = '1',,,,,,
mob_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n3_t(1)] = '1',,,,,,
mob_n3_sp_months,patient_information,,text,Months Used,,,,,,,[mob_n3_t(2)] = '1',,,,,,
mob_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[mob_n3_t(2)] = '1',,,,,,
mob_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[mob_n3_t(2)] = '1',,,,,,
mob_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[mob_n3_t(2)] = '1',,,,,,
mob_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[mob_n3_t(3)] = '1',,,,,,
mob_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[mob_n3_t(3)] = '1',,,,,,
mob_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[mob_n3_t(3)] = '1',,,,,,
dex_num,patient_information,DEXTERITY/HAND USE,text,Dexterity/hand use devices used (up to 3),,,number,0,3,,,,,,,,
dex_n1_name,patient_information,,text,Name of device #1,,,,,,,[dex_num] >= 1,,,,,,
dex_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[dex_num] >= 1,,,,,,
dex_n1_su_month,patient_information,,text,Months Used,,,,,,,[dex_n1_t(1)] = '1',,,,,,
dex_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n1_t(1)] = '1',,,,,,
dex_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n1_t(1)] = '1',,,,,,
dex_n1_sp_months,patient_information,,text,Months Used,,,,,,,[dex_n1_t(2)] = '1',,,,,,
dex_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n1_t(2)] = '1',,,,,,
dex_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n1_t(2)] = '1',,,,,,
dex_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[dex_n1_t(2)] = '1',,,,,,
dex_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[dex_n1_t(3)] = '1',,,,,,
dex_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[dex_n1_t(3)] = '1',,,,,,
dex_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[dex_n1_t(3)] = '1',,,,,,
dex_n2_name,patient_information,,text,Name of device #2,,,,,,,[dex_num] >= 2,,,,,,
dex_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[dex_num] >= 2,,,,,,
dex_n2_su_month,patient_information,,text,Months Used,,,,,,,[dex_n2_t(1)] = '1',,,,,,
dex_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n2_t(1)] = '1',,,,,,
dex_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n2_t(1)] = '1',,,,,,
dex_n2_sp_months,patient_information,,text,Months Used,,,,,,,[dex_n2_t(2)] = '1',,,,,,
dex_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n2_t(2)] = '1',,,,,,
dex_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n2_t(2)] = '1',,,,,,
dex_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[dex_n2_t(2)] = '1',,,,,,
dex_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[dex_n2_t(3)] = '1',,,,,,
dex_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[dex_n2_t(3)] = '1',,,,,,
dex_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[dex_n2_t(3)] = '1',,,,,,
dex_n3_name,patient_information,,text,Name of device #3,,,,,,,[dex_num] >= 3,,,,,,
dex_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[dex_num] >= 3,,,,,,
dex_n3_su_month,patient_information,,text,Months Used,,,,,,,[dex_n3_t(1)] = '1',,,,,,
dex_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n3_t(1)] = '1',,,,,,
dex_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n3_t(1)] = '1',,,,,,
dex_n3_sp_months,patient_information,,text,Months Used,,,,,,,[dex_n3_t(2)] = '1',,,,,,
dex_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[dex_n3_t(2)] = '1',,,,,,
dex_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[dex_n3_t(2)] = '1',,,,,,
dex_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[dex_n3_t(2)] = '1',,,,,,
dex_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[dex_n3_t(3)] = '1',,,,,,
dex_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[dex_n3_t(3)] = '1',,,,,,
dex_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[dex_n3_t(3)] = '1',,,,,,
see_num,patient_information,SEEING,text,Seeing devices used (up to 3),,,number,0,3,,,,,,,,
see_n1_name,patient_information,,text,Name of device #1,,,,,,,[see_num] >= 1,,,,,,
see_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[see_num] >= 1,,,,,,
see_n1_su_month,patient_information,,text,Months Used,,,,,,,[see_n1_t(1)] = '1',,,,,,
see_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[see_n1_t(1)] = '1',,,,,,
see_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n1_t(1)] = '1',,,,,,
see_n1_sp_months,patient_information,,text,Months Used,,,,,,,[see_n1_t(2)] = '1',,,,,,
see_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[see_n1_t(2)] = '1',,,,,,
see_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n1_t(2)] = '1',,,,,,
see_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[see_n1_t(2)] = '1',,,,,,
see_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[see_n1_t(3)] = '1',,,,,,
see_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[see_n1_t(3)] = '1',,,,,,
see_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[see_n1_t(3)] = '1',,,,,,
see_n2_name,patient_information,,text,Name of device #2,,,,,,,[see_num] >= 2,,,,,,
see_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[see_num] >= 2,,,,,,
